Time,Execution Time,,Processor,RAM Size
Thu Nov 26 16:30:55 2020,1.023409128189087,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:57 2020,1.032449722290039,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:30:59 2020,1.031480073928833,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:01 2020,0.935809851,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:03 2020,1.0314249992370605,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:05 2020,0.9216368198394775,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:07 2020,1.033916711807251,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:09 2020,1.026643991470337,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:11 2020,1.0319607257843018,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:13 2020,1.0326850414276123,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:15 2020,1.0306150913238525,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:18 2020,1.1811890602111816,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:20 2020,1.015075922012329,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:22 2020,0.9501650333404541,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:24 2020,1.0250906944274902,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:26 2020,0.9510130882263184,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:28 2020,0.916687012,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:30 2020,1.0339939594268799,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:32 2020,1.3400788307189941,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:34 2020,0.9289209842681885,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:36 2020,1.0269901752471924,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:38 2020,1.0389771461486816,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:40 2020,0.9838590621948242,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:42 2020,0.9216248989105225,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:44 2020,0.9409310817718506,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:46 2020,0.9398000240325928,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:48 2020,0.9747388362884521,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:50 2020,0.9138929843902588,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:53 2020,1.5498721599578857,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:55 2020,1.0335829257965088,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:57 2020,0.9368932247161865,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:31:59 2020,1.0239512920379639,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:01 2020,1.036694049835205,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:03 2020,1.0245399475097656,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:05 2020,0.9367148876190186,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:07 2020,0.98016119,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:09 2020,1.042733907699585,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:11 2020,1.0367650985717773,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:13 2020,1.0351109504699707,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:15 2020,0.9707338809967041,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:17 2020,1.1042189598083496,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:19 2020,1.0409400463104248,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:22 2020,1.035167932510376,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:23 2020,0.9279530048370361,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:26 2020,1.0361921787261963,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:28 2020,0.9219400882720947,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:30 2020,0.9326257705688477,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:32 2020,0.9304060935974121,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:34 2020,1.0352330207824707,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:36 2020,0.954556942,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:38 2020,0.9813356399536133,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:40 2020,0.9724428653717041,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:42 2020,0.9294209480285645,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:44 2020,1.015428066253662,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:46 2020,1.0317089557647705,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:48 2020,1.019200086593628,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:50 2020,0.9168131351470947,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:52 2020,1.0322527885437012,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:54 2020,1.0183391571044922,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:56 2020,0.9281039237976074,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:32:58 2020,1.0313563346862793,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:00 2020,1.031480073928833,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:02 2020,0.9337449073791504,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:04 2020,1.0342597961425781,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:06 2020,0.915942907,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:08 2020,0.9342961311340332,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:10 2020,0.933588982,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:12 2020,1.031614065170288,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:14 2020,1.032571792602539,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:16 2020,1.1401748657226562,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:18 2020,1.0484669208526611,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:20 2020,0.9788427352905273,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:23 2020,1.0668160915374756,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:24 2020,0.9287748336791992,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:27 2020,1.0134499073028564,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:29 2020,1.023272991,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:31 2020,1.1376111507415771,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:33 2020,1.032236099243164,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:35 2020,0.985569954,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:37 2020,1.0780558586120605,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:39 2020,0.9954109191894531,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:41 2020,0.9316861629486084,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:43 2020,0.9232048988342285,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:45 2020,1.035632848739624,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:47 2020,0.870164156,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:49 2020,1.096930980682373,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:51 2020,0.9450743198394775,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:53 2020,0.9688451290130615,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
Thu Nov 26 16:33:55 2020,0.9947519302368164,,Quad-core 64-bit ARM Cortex-A72 CPU,4 GB
