Time,Execution Time,,Processor,RAM Size
Thu Nov 26 14:47:38 2020,0.10439109802246094,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:39 2020,0.11676383018493652,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:40 2020,0.10669803619384766,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:41 2020,0.1035308837890625,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:42 2020,0.099778175,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:44 2020,0.10819411277770996,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:45 2020,0.1055138111114502,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:46 2020,0.10954689979553223,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:47 2020,0.11144495010375977,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:48 2020,0.10962605476379395,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:49 2020,0.10892701148986816,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:50 2020,0.10005593299865723,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:51 2020,0.1048440933227539,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:52 2020,0.10713696479797363,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:54 2020,0.10684895515441895,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:55 2020,0.10911107063293457,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:56 2020,0.10511398315429688,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:57 2020,0.10620379447937012,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:58 2020,0.10726690292358398,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:47:59 2020,0.10846900939941406,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:48:00 2020,0.10535311698913574,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:48:01 2020,0.1028280258178711,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
Thu Nov 26 14:48:02 2020,0.10891008377075195,,1.4 GHz Quad-Core Intel Core i5,8 GB 2133 MHz
