Time,Execution Time
Thu Nov 26 15:18:52 2020,0.4227879047393799
Thu Nov 26 15:18:53 2020,0.408062219619751
Thu Nov 26 15:18:55 2020,0.7613859176635742
Thu Nov 26 15:18:56 2020,0.2848641872406006
Thu Nov 26 15:18:58 2020,0.3488199710845947
Thu Nov 26 15:18:59 2020,0.4255959987640381
Thu Nov 26 15:19:01 2020,0.38930201530456543
Thu Nov 26 15:19:02 2020,0.38047122955322266
Thu Nov 26 15:19:03 2020,0.48070406913757324
Thu Nov 26 15:19:05 2020,0.4033071994781494
Thu Nov 26 15:19:06 2020,0.4055318832397461
Thu Nov 26 15:19:08 2020,0.41618990898132324
Thu Nov 26 15:19:09 2020,0.3952908515930176
Thu Nov 26 15:19:10 2020,0.3735542297363281
Thu Nov 26 15:19:12 2020,0.42852091789245605
Thu Nov 26 15:19:13 2020,0.3724837303161621
Thu Nov 26 15:19:15 2020,0.40853095054626465
Thu Nov 26 15:19:16 2020,0.44405317306518555
Thu Nov 26 15:19:18 2020,0.4019200801849365
Thu Nov 26 15:19:19 2020,0.41283202171325684
Thu Nov 26 15:19:20 2020,0.42214512825012207
Thu Nov 26 15:19:22 2020,0.3893911838531494
Thu Nov 26 15:19:23 2020,0.40776896476745605
Thu Nov 26 15:19:25 2020,0.31680989265441895
Thu Nov 26 15:19:26 2020,0.35929107666015625
Thu Nov 26 15:19:27 2020,0.40927696228027344
Thu Nov 26 15:19:29 2020,0.46680712699890137
Thu Nov 26 15:19:30 2020,0.41480493545532227
Thu Nov 26 15:19:32 2020,0.44699811935424805
Thu Nov 26 15:19:33 2020,0.4385490417480469
Thu Nov 26 15:19:35 2020,0.43810200691223145
Thu Nov 26 15:19:36 2020,0.41068291664123535
Thu Nov 26 15:19:37 2020,0.40497779846191406
Thu Nov 26 15:19:39 2020,0.40838122367858887
Thu Nov 26 15:19:40 2020,0.4290807247161865
Thu Nov 26 15:19:42 2020,0.4511580467224121
Thu Nov 26 15:19:43 2020,0.3858301639556885
Thu Nov 26 15:19:44 2020,0.4096508026123047
Thu Nov 26 15:19:46 2020,0.42702198028564453
Thu Nov 26 15:19:47 2020,0.3901050090789795
Thu Nov 26 15:19:49 2020,0.432384729385376
Thu Nov 26 15:19:50 2020,0.4478139877319336
Thu Nov 26 15:19:52 2020,0.4083571434020996
Thu Nov 26 15:19:53 2020,0.42115211486816406
Thu Nov 26 15:19:54 2020,0.4507129192352295
Thu Nov 26 15:19:56 2020,0.3746151924133301
Thu Nov 26 15:19:57 2020,0.4298512935638428
Thu Nov 26 15:19:59 2020,0.44773125648498535
Thu Nov 26 15:20:00 2020,0.38826918601989746
Thu Nov 26 15:20:02 2020,0.4470329284667969
Thu Nov 26 15:20:03 2020,0.42365312576293945
Thu Nov 26 15:20:04 2020,0.43138599395751953
Thu Nov 26 15:20:06 2020,0.4041609764099121
Thu Nov 26 15:20:07 2020,0.45108890533447266
Thu Nov 26 15:20:09 2020,0.40859079360961914
Thu Nov 26 15:20:10 2020,0.41496801376342773
Thu Nov 26 15:20:12 2020,0.44288206100463867
Thu Nov 26 15:20:13 2020,0.434251070022583
Thu Nov 26 15:20:14 2020,0.41510510444641113
Thu Nov 26 15:20:16 2020,0.4520690441131592
Thu Nov 26 15:20:17 2020,0.4327421188354492
Thu Nov 26 15:20:19 2020,0.40047383308410645
Thu Nov 26 15:20:20 2020,0.44272422790527344
Thu Nov 26 15:20:22 2020,0.41323184967041016
