Time,Execution Time,,Processor,RAM Size
Thu Nov 26 13:07:12 2020,0.2771010398864746,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:14 2020,0.3057711124420166,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:15 2020,0.42151618003845215,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:16 2020,0.31848883628845215,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:18 2020,0.40976715087890625,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:19 2020,0.3058910369873047,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:21 2020,0.3059530258178711,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:22 2020,0.4063451290130615,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:24 2020,0.4073202610015869,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:25 2020,0.32821106910705566,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:27 2020,0.301649809,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:28 2020,0.30776381492614746,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:29 2020,0.3021829128265381,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:31 2020,0.4041421413421631,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:32 2020,0.3059561252593994,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:34 2020,0.30349302291870117,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:35 2020,0.30573391914367676,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:37 2020,0.30691099166870117,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:38 2020,0.3044898509979248,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:39 2020,0.2746591567993164,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:41 2020,0.30562734603881836,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:42 2020,0.30541491508483887,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:43 2020,0.3057999610900879,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:45 2020,0.29540038108825684,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:46 2020,0.3056609630584717,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:48 2020,0.3070690631866455,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:49 2020,0.2762150764465332,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:50 2020,0.3031008243560791,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:52 2020,0.30612778663635254,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:53 2020,0.40322327613830566,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:55 2020,0.31699490547180176,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:57 2020,0.6687607765197754,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:07:58 2020,0.40814828872680664,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:00 2020,0.40813112258911133,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:01 2020,0.3049321174621582,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:02 2020,0.3059399127960205,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:04 2020,0.40867090225219727,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:05 2020,0.3973557949066162,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:07 2020,0.3060131072998047,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:08 2020,0.27691412,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:10 2020,0.4161648750305176,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:11 2020,0.35315370559692383,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:13 2020,0.3141520023345947,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:14 2020,0.3050220012664795,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:15 2020,0.30587005615234375,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:17 2020,0.30651092529296875,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:18 2020,0.33997488021850586,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:20 2020,0.3055880069732666,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:21 2020,0.3807199001312256,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:23 2020,0.30536675453186035,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:24 2020,0.3057222366333008,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:26 2020,0.30585694313049316,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:27 2020,0.30585217475891113,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:28 2020,0.30581188201904297,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:30 2020,0.27666425704956055,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:31 2020,0.3049449920654297,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:33 2020,0.30576109886169434,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:34 2020,0.3030660152435303,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:35 2020,0.28188610076904297,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:37 2020,0.305541992,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:38 2020,0.28512001037597656,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:40 2020,0.3057057857513428,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:41 2020,0.27634119987487793,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:42 2020,0.30789995193481445,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:44 2020,0.4072880744934082,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:45 2020,0.30571985244750977,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:47 2020,0.38980817794799805,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:48 2020,0.40810704231262207,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:50 2020,0.47206568717956543,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:51 2020,0.2983088493347168,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:53 2020,0.3057990074157715,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:54 2020,0.2757582664489746,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:55 2020,0.2860438823699951,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:57 2020,0.3059120178222656,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:08:58 2020,0.30594515800476074,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:00 2020,0.3001720905303955,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:01 2020,0.30599498748779297,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:02 2020,0.30510592460632324,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:04 2020,0.308560848,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:05 2020,0.40818190574645996,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:07 2020,0.3058350086212158,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:08 2020,0.3823659420013428,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:10 2020,0.3059661388397217,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:11 2020,0.306445837,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:13 2020,0.3059389591217041,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:14 2020,0.2807598114013672,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:15 2020,0.3055989742279053,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:17 2020,0.3051598072052002,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:18 2020,0.3058969974517822,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:20 2020,0.30584287643432617,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:21 2020,0.5356738567352295,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:23 2020,0.30623936653137207,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:24 2020,0.305983305,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:25 2020,0.3004131317138672,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:27 2020,0.305753231,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:28 2020,0.27948808670043945,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:30 2020,0.3060150146484375,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:31 2020,0.27248620986938477,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:32 2020,0.4079098701477051,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:34 2020,0.30609893798828125,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:35 2020,0.30582714080810547,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:37 2020,0.2686588764190674,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:38 2020,0.3061230182647705,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:40 2020,0.2953169345855713,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:41 2020,0.3085949420928955,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:42 2020,0.30499792098999023,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:44 2020,0.40865111351013184,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:45 2020,0.28128790855407715,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:47 2020,0.40554308891296387,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:48 2020,0.3976008892059326,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:50 2020,0.3160867691040039,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:51 2020,0.5010659694671631,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:53 2020,0.3056468963623047,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:54 2020,0.31065893173217773,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
Thu Nov 26 13:09:56 2020,0.40659618377685547,,2.5 GHz Dual-Core Intel Core i5,8 GB 1600 MHz
